TS = 504, TJ = 503

TS = 484, TJ = 484

TS = 469, TJ = 468

TS = 472, TJ = 472

TS = 629, TJ = 629

TS = 531, TJ = 531

TS = 362, TJ = 361

TS = 455, TJ = 455

TS = 291, TJ = 291

TS = 482, TJ = 482

TS = 483, TJ = 483

TS = 465, TJ = 465

TS = 481, TJ = 480

TS = 303, TJ = 302

TS = 332, TJ = 332

TS = 333, TJ = 333

TS = 300, TJ = 300

TS = 358, TJ = 355

TS = 516, TJ = 516

TS = 277, TJ = 277

TS = 403, TJ = 403

TS = 415, TJ = 414

TS = 249, TJ = 248

TS = 250, TJ = 246

TS = 279, TJ = 279

TS = 280, TJ = 280

TS = 299, TJ = 285

TS = 324, TJ = 309

TS = 291, TJ = 291

TS = 276, TJ = 276

TS = 251, TJ = 251

TS = 246, TJ = 246

TS = 248, TJ = 248

TS = 245, TJ = 243

TS = 250, TJ = 250

TS = 263, TJ = 263

TS = 257, TJ = 257

TS = 280, TJ = 280

TS = 281, TJ = 281

TS = 273, TJ = 273

TS = 268, TJ = 268

TS = 295, TJ = 295

TS = 253, TJ = 253

TS = 241, TJ = 241

TS = 248, TJ = 248

TS = 243, TJ = 242

TS = 246, TJ = 244

TS = 253, TJ = 250

TS = 259, TJ = 259

TS = 267, TJ = 267

TS = 275, TJ = 275

TS = 277, TJ = 277

TS = 267, TJ = 264

TS = 249, TJ = 249

TS = 251, TJ = 251

TS = 247, TJ = 247

TS = 245, TJ = 244

TS = 250, TJ = 250

TS = 256, TJ = 253

TS = 269, TJ = 260

TS = 264, TJ = 264

TS = 261, TJ = 261

TS = 290, TJ = 289

TS = 275, TJ = 275

TS = 245, TJ = 245

TS = 258, TJ = 258

TS = 246, TJ = 246

TS = 244, TJ = 244

TS = 251, TJ = 246

TS = 265, TJ = 265

TS = 269, TJ = 269

TS = 283, TJ = 280

TS = 285, TJ = 284

TS = 336, TJ = 336

TS = 266, TJ = 266

TS = 270, TJ = 270

TS = 274, TJ = 267

TS = 351, TJ = 351

TS = 277, TJ = 260

TS = 255, TJ = 255

TS = 241, TJ = 241

TS = 249, TJ = 247

TS = 246, TJ = 246

TS = 250, TJ = 250

TS = 245, TJ = 245

TS = 248, TJ = 248

TS = 255, TJ = 255

TS = 252, TJ = 252

TS = 255, TJ = 252

TS = 262, TJ = 261

TS = 253, TJ = 253

TS = 246, TJ = 246

TS = 251, TJ = 251

TS = 254, TJ = 254

TS = 251, TJ = 251

TS = 246, TJ = 246

TS = 314, TJ = 311

TS = 334, TJ = 334

TS = 302, TJ = 302

TS = 278, TJ = 278

TS = 298, TJ = 298

TS = 272, TJ = 272

TS = 261, TJ = 261

TS = 264, TJ = 264

TS = 261, TJ = 260

TS = 319, TJ = 318

TS = 243, TJ = 243

TS = 248, TJ = 246

TS = 265, TJ = 265

TS = 281, TJ = 279

TS = 280, TJ = 280

TS = 278, TJ = 278

TS = 272, TJ = 272

TS = 260, TJ = 260

TS = 248, TJ = 248

TS = 243, TJ = 243

TS = 253, TJ = 253

TS = 249, TJ = 243

TS = 250, TJ = 250

TS = 252, TJ = 252

TS = 251, TJ = 251

TS = 272, TJ = 266

TS = 287, TJ = 287

TS = 284, TJ = 280

TS = 304, TJ = 304

TS = 269, TJ = 269

TS = 264, TJ = 264

TS = 419, TJ = 397

TS = 249, TJ = 248

TS = 252, TJ = 252

TS = 247, TJ = 247

TS = 242, TJ = 242

TS = 247, TJ = 247

TS = 254, TJ = 254

TS = 268, TJ = 268

TS = 260, TJ = 259

TS = 300, TJ = 300

TS = 300, TJ = 299

TS = 284, TJ = 284

TS = 284, TJ = 284

TS = 280, TJ = 280

TS = 271, TJ = 271

TS = 261, TJ = 261

TS = 244, TJ = 243

TS = 247, TJ = 247

TS = 242, TJ = 241

TS = 281, TJ = 278

TS = 281, TJ = 277

TS = 308, TJ = 308

TS = 283, TJ = 283

TS = 301, TJ = 300

TS = 275, TJ = 275

TS = 257, TJ = 257

TS = 267, TJ = 267

TS = 363, TJ = 363

TS = 253, TJ = 252

TS = 250, TJ = 250

TS = 258, TJ = 257

TS = 268, TJ = 268

TS = 274, TJ = 272

TS = 274, TJ = 274

TS = 269, TJ = 269

TS = 258, TJ = 258

TS = 243, TJ = 243

TS = 245, TJ = 245

TS = 253, TJ = 251

TS = 267, TJ = 267

TS = 260, TJ = 260

TS = 264, TJ = 263

TS = 269, TJ = 268

TS = 267, TJ = 267

TS = 270, TJ = 270

TS = 255, TJ = 255

TS = 266, TJ = 266

TS = 252, TJ = 252

TS = 239, TJ = 239

TS = 261, TJ = 258

TS = 268, TJ = 268

TS = 262, TJ = 262

TS = 270, TJ = 270

TS = 269, TJ = 269

TS = 284, TJ = 283

TS = 278, TJ = 278

TS = 278, TJ = 278

TS = 270, TJ = 270

TS = 253, TJ = 253

TS = 252, TJ = 247

TS = 268, TJ = 268

TS = 267, TJ = 267

TS = 284, TJ = 284

TS = 280, TJ = 280

TS = 284, TJ = 283

TS = 284, TJ = 284

TS = 293, TJ = 293

TS = 281, TJ = 281

TS = 290, TJ = 289

TS = 259, TJ = 259

TS = 266, TJ = 265

TS = 249, TJ = 249

TS = 244, TJ = 244

TS = 251, TJ = 251

TS = 250, TJ = 250

TS = 280, TJ = 280

TS = 271, TJ = 271

TS = 275, TJ = 275

TS = 281, TJ = 278

TS = 246, TJ = 246

TS = 250, TJ = 250

TS = 259, TJ = 259

TS = 253, TJ = 253

TS = 250, TJ = 250

TS = 252, TJ = 252

TS = 259, TJ = 258

TS = 266, TJ = 264

TS = 281, TJ = 279

TS = 281, TJ = 279

TS = 248, TJ = 248

TS = 248, TJ = 248

TS = 267, TJ = 267

TS = 264, TJ = 264

TS = 258, TJ = 256

TS = 250, TJ = 250

TS = 269, TJ = 266

TS = 267, TJ = 266

TS = 274, TJ = 273

TS = 286, TJ = 286

TS = 245, TJ = 245

TS = 245, TJ = 245

TS = 268, TJ = 268

TS = 271, TJ = 268

TS = 258, TJ = 258

TS = 327, TJ = 326

TS = 246, TJ = 246

TS = 260, TJ = 260

TS = 269, TJ = 269

TS = 265, TJ = 265

TS = 254, TJ = 253

TS = 255, TJ = 255

TS = 256, TJ = 255

TS = 255, TJ = 255

TS = 244, TJ = 244

TS = 244, TJ = 244

TS = 245, TJ = 243

TS = 253, TJ = 253

TS = 283, TJ = 282

TS = 284, TJ = 283

TS = 271, TJ = 271

TS = 301, TJ = 301

TS = 252, TJ = 251

TS = 252, TJ = 250

TS = 254, TJ = 253

TS = 247, TJ = 247

TS = 245, TJ = 245

TS = 241, TJ = 241

TS = 246, TJ = 246

TS = 277, TJ = 274

TS = 273, TJ = 272

TS = 277, TJ = 273

TS = 246, TJ = 246

TS = 244, TJ = 244

TS = 245, TJ = 245

TS = 246, TJ = 246

TS = 257, TJ = 257

TS = 259, TJ = 248

TS = 247, TJ = 247

TS = 267, TJ = 267

TS = 257, TJ = 257

TS = 283, TJ = 282

TS = 255, TJ = 255

TS = 275, TJ = 273

TS = 254, TJ = 254

TS = 252, TJ = 252

TS = 245, TJ = 245

TS = 243, TJ = 243

TS = 252, TJ = 252

TS = 270, TJ = 270

TS = 267, TJ = 267

TS = 281, TJ = 281

TS = 275, TJ = 275

TS = 261, TJ = 261

TS = 277, TJ = 277

