TS = 604, TJ = 604

TS = 421, TJ = 414

TS = 267, TJ = 266

TS = 253, TJ = 252

TS = 255, TJ = 255

TS = 249, TJ = 249

TS = 244, TJ = 244

TS = 246, TJ = 246

TS = 247, TJ = 247

TS = 246, TJ = 246

TS = 245, TJ = 245

TS = 245, TJ = 245

TS = 248, TJ = 248

TS = 250, TJ = 250

TS = 245, TJ = 245

TS = 249, TJ = 249

TS = 244, TJ = 244

TS = 269, TJ = 269

TS = 244, TJ = 244

TS = 302, TJ = 301

TS = 245, TJ = 245

TS = 250, TJ = 250

TS = 242, TJ = 241

TS = 250, TJ = 250

TS = 242, TJ = 242

TS = 254, TJ = 254

TS = 247, TJ = 247

TS = 247, TJ = 246

TS = 246, TJ = 246

TS = 247, TJ = 247

TS = 251, TJ = 251

TS = 247, TJ = 247

TS = 243, TJ = 243

TS = 272, TJ = 272

TS = 251, TJ = 245

TS = 376, TJ = 376

TS = 249, TJ = 249

TS = 253, TJ = 253

TS = 243, TJ = 243

TS = 255, TJ = 255

TS = 244, TJ = 243

TS = 249, TJ = 249

TS = 244, TJ = 244

TS = 247, TJ = 247

TS = 248, TJ = 247

TS = 255, TJ = 255

TS = 244, TJ = 244

TS = 284, TJ = 283

TS = 250, TJ = 250

TS = 251, TJ = 251

TS = 246, TJ = 246

TS = 245, TJ = 245

TS = 243, TJ = 243

TS = 246, TJ = 246

TS = 246, TJ = 246

TS = 248, TJ = 248

TS = 242, TJ = 242

TS = 253, TJ = 253

TS = 247, TJ = 247

TS = 251, TJ = 250

TS = 243, TJ = 243

TS = 262, TJ = 262

TS = 241, TJ = 241

TS = 254, TJ = 254

TS = 244, TJ = 244

TS = 262, TJ = 262

TS = 246, TJ = 246

TS = 248, TJ = 247

TS = 245, TJ = 245

TS = 257, TJ = 253

TS = 245, TJ = 245

TS = 298, TJ = 298

TS = 245, TJ = 245

TS = 248, TJ = 248

TS = 433, TJ = 432

TS = 479, TJ = 479

TS = 277, TJ = 277

TS = 253, TJ = 253

TS = 250, TJ = 250

TS = 252, TJ = 252

TS = 242, TJ = 242

TS = 248, TJ = 248

TS = 246, TJ = 246

TS = 246, TJ = 245

TS = 249, TJ = 249

TS = 249, TJ = 249

TS = 244, TJ = 244

TS = 245, TJ = 245

TS = 245, TJ = 243

TS = 246, TJ = 246

TS = 244, TJ = 244

TS = 245, TJ = 245

TS = 247, TJ = 247

TS = 243, TJ = 243

TS = 242, TJ = 242

TS = 250, TJ = 250

TS = 251, TJ = 251

TS = 245, TJ = 245

TS = 254, TJ = 252

TS = 251, TJ = 251

TS = 249, TJ = 249

TS = 246, TJ = 246

TS = 243, TJ = 243

TS = 253, TJ = 253

TS = 274, TJ = 274

TS = 261, TJ = 261

TS = 260, TJ = 260

TS = 255, TJ = 255

TS = 246, TJ = 244

TS = 244, TJ = 243

TS = 256, TJ = 256

TS = 254, TJ = 254

TS = 245, TJ = 245

TS = 244, TJ = 244

TS = 246, TJ = 246

TS = 245, TJ = 245

TS = 298, TJ = 297

TS = 249, TJ = 248

TS = 244, TJ = 244

TS = 245, TJ = 245

TS = 242, TJ = 242

TS = 256, TJ = 256

TS = 247, TJ = 245

TS = 376, TJ = 376

TS = 244, TJ = 243

TS = 247, TJ = 247

TS = 242, TJ = 242

TS = 247, TJ = 247

TS = 243, TJ = 243

TS = 243, TJ = 243

TS = 241, TJ = 241

TS = 245, TJ = 245

TS = 251, TJ = 250

TS = 244, TJ = 244

TS = 245, TJ = 245

TS = 250, TJ = 247

TS = 242, TJ = 242

TS = 245, TJ = 245

TS = 241, TJ = 241

TS = 245, TJ = 244

TS = 243, TJ = 242

TS = 245, TJ = 245

TS = 241, TJ = 241

TS = 244, TJ = 243

TS = 241, TJ = 241

TS = 244, TJ = 244

TS = 240, TJ = 240

TS = 247, TJ = 247

TS = 241, TJ = 240

TS = 247, TJ = 247

TS = 242, TJ = 242

TS = 296, TJ = 294

TS = 241, TJ = 241

TS = 247, TJ = 246

TS = 243, TJ = 243

TS = 259, TJ = 253

TS = 244, TJ = 244

TS = 249, TJ = 249

TS = 253, TJ = 243

TS = 247, TJ = 247

TS = 242, TJ = 241

TS = 256, TJ = 255

TS = 346, TJ = 342

TS = 474, TJ = 474

TS = 254, TJ = 254

TS = 253, TJ = 252

TS = 241, TJ = 241

TS = 246, TJ = 246

TS = 264, TJ = 264

TS = 245, TJ = 245

TS = 248, TJ = 248

TS = 260, TJ = 252

TS = 242, TJ = 242

TS = 246, TJ = 246

TS = 242, TJ = 242

TS = 248, TJ = 248

TS = 245, TJ = 245

TS = 246, TJ = 246

TS = 247, TJ = 247

TS = 244, TJ = 244

TS = 250, TJ = 250

TS = 252, TJ = 252

TS = 245, TJ = 245

TS = 245, TJ = 245

TS = 249, TJ = 249

TS = 243, TJ = 243

TS = 242, TJ = 242

TS = 243, TJ = 243

TS = 241, TJ = 241

TS = 252, TJ = 250

TS = 245, TJ = 245

TS = 247, TJ = 247

TS = 244, TJ = 244

TS = 250, TJ = 249

TS = 248, TJ = 246

TS = 251, TJ = 249

TS = 248, TJ = 248

TS = 256, TJ = 256

TS = 247, TJ = 247

TS = 244, TJ = 244

TS = 251, TJ = 251

TS = 251, TJ = 251

TS = 246, TJ = 245

TS = 254, TJ = 254

TS = 255, TJ = 254

TS = 255, TJ = 255

TS = 243, TJ = 242

TS = 242, TJ = 242

TS = 247, TJ = 247

TS = 247, TJ = 246

TS = 243, TJ = 243

TS = 247, TJ = 247

TS = 245, TJ = 245

TS = 260, TJ = 259

TS = 246, TJ = 246

TS = 244, TJ = 244

TS = 246, TJ = 245

TS = 245, TJ = 245

TS = 248, TJ = 248

TS = 250, TJ = 250

TS = 243, TJ = 243

TS = 248, TJ = 248

TS = 246, TJ = 246

TS = 248, TJ = 248

TS = 250, TJ = 249

TS = 246, TJ = 246

TS = 241, TJ = 241

TS = 250, TJ = 250

TS = 251, TJ = 251

TS = 249, TJ = 247

TS = 265, TJ = 265

TS = 248, TJ = 248

TS = 243, TJ = 243

TS = 257, TJ = 255

TS = 253, TJ = 253

TS = 250, TJ = 242

TS = 257, TJ = 257

TS = 251, TJ = 251

TS = 244, TJ = 243

TS = 248, TJ = 247

TS = 244, TJ = 244

TS = 244, TJ = 243

TS = 246, TJ = 245

TS = 244, TJ = 244

TS = 266, TJ = 266

TS = 270, TJ = 270

TS = 247, TJ = 247

TS = 243, TJ = 242

TS = 246, TJ = 245

TS = 251, TJ = 251

TS = 242, TJ = 242

TS = 249, TJ = 248

TS = 242, TJ = 242

TS = 243, TJ = 242

TS = 241, TJ = 241

TS = 264, TJ = 261

TS = 240, TJ = 240

TS = 257, TJ = 248

TS = 243, TJ = 243

TS = 252, TJ = 252

TS = 251, TJ = 251

TS = 248, TJ = 248

TS = 244, TJ = 244

TS = 254, TJ = 252

TS = 481, TJ = 481

TS = 259, TJ = 253

TS = 244, TJ = 244

TS = 251, TJ = 251

TS = 249, TJ = 246

TS = 250, TJ = 249

TS = 249, TJ = 249

TS = 259, TJ = 259

TS = 253, TJ = 253

TS = 251, TJ = 251

TS = 248, TJ = 246

TS = 260, TJ = 260

TS = 251, TJ = 251

TS = 249, TJ = 249

TS = 247, TJ = 247

TS = 248, TJ = 248

TS = 246, TJ = 246

TS = 251, TJ = 250

TS = 248, TJ = 248

TS = 247, TJ = 247

TS = 345, TJ = 340

TS = 483, TJ = 483

TS = 256, TJ = 255

TS = 248, TJ = 248

TS = 256, TJ = 256

TS = 248, TJ = 248

TS = 249, TJ = 244

TS = 249, TJ = 246

TS = 245, TJ = 245

TS = 252, TJ = 251

TS = 245, TJ = 245

TS = 253, TJ = 253

TS = 252, TJ = 250

TS = 246, TJ = 246

TS = 251, TJ = 251

TS = 245, TJ = 245

TS = 244, TJ = 244

TS = 256, TJ = 256

TS = 253, TJ = 245

TS = 251, TJ = 250

TS = 245, TJ = 244

TS = 259, TJ = 259

TS = 249, TJ = 248

TS = 251, TJ = 251

TS = 243, TJ = 243

TS = 259, TJ = 259

TS = 243, TJ = 243

TS = 268, TJ = 264

TS = 249, TJ = 249

TS = 254, TJ = 254

TS = 243, TJ = 243

TS = 258, TJ = 257

TS = 263, TJ = 263

TS = 255, TJ = 252

TS = 250, TJ = 246

TS = 254, TJ = 254

TS = 242, TJ = 242

TS = 245, TJ = 245

TS = 244, TJ = 244

TS = 249, TJ = 249

TS = 256, TJ = 255

