TS = 17046, TJ = 17046

TS = 298, TJ = 298

TS = 603, TJ = 600

TS = 279, TJ = 279

TS = 278, TJ = 271

TS = 259, TJ = 259

TS = 273, TJ = 272

TS = 280, TJ = 279

TS = 297, TJ = 297

TS = 265, TJ = 264

TS = 263, TJ = 261

TS = 262, TJ = 262

TS = 305, TJ = 303

TS = 263, TJ = 262

TS = 296, TJ = 291

TS = 266, TJ = 265

TS = 265, TJ = 264

TS = 283, TJ = 283

TS = 252, TJ = 252

TS = 526, TJ = 522

TS = 277, TJ = 277

TS = 268, TJ = 267

TS = 267, TJ = 266

TS = 257, TJ = 257

TS = 264, TJ = 261

TS = 255, TJ = 255

TS = 259, TJ = 258

TS = 256, TJ = 252

TS = 249, TJ = 248

TS = 252, TJ = 251

TS = 256, TJ = 256

TS = 267, TJ = 267

TS = 262, TJ = 259

TS = 258, TJ = 250

TS = 269, TJ = 269

TS = 287, TJ = 281

TS = 258, TJ = 250

TS = 254, TJ = 248

TS = 258, TJ = 258

TS = 276, TJ = 275

TS = 252, TJ = 248

TS = 256, TJ = 250

TS = 255, TJ = 254

TS = 257, TJ = 257

TS = 265, TJ = 264

TS = 261, TJ = 250

TS = 256, TJ = 256

TS = 282, TJ = 276

TS = 252, TJ = 252

TS = 251, TJ = 247

TS = 267, TJ = 267

TS = 261, TJ = 259

TS = 253, TJ = 252

TS = 250, TJ = 249

TS = 254, TJ = 246

TS = 271, TJ = 271

TS = 266, TJ = 266

TS = 260, TJ = 257

TS = 279, TJ = 276

TS = 268, TJ = 267

TS = 258, TJ = 254

TS = 285, TJ = 279

TS = 255, TJ = 255

TS = 273, TJ = 271

TS = 252, TJ = 247

TS = 258, TJ = 258

TS = 260, TJ = 260

TS = 252, TJ = 252

TS = 248, TJ = 247

TS = 263, TJ = 261

TS = 275, TJ = 269

TS = 389, TJ = 380

TS = 259, TJ = 256

TS = 264, TJ = 264

TS = 377, TJ = 377

TS = 249, TJ = 249

TS = 254, TJ = 254

TS = 279, TJ = 277

TS = 266, TJ = 265

TS = 273, TJ = 263

TS = 255, TJ = 249

TS = 260, TJ = 260

TS = 257, TJ = 256

TS = 261, TJ = 261

TS = 251, TJ = 247

TS = 258, TJ = 257

TS = 248, TJ = 248

TS = 254, TJ = 254

TS = 277, TJ = 271

TS = 274, TJ = 274

TS = 251, TJ = 247

TS = 254, TJ = 254

TS = 251, TJ = 250

TS = 251, TJ = 247

TS = 253, TJ = 246

TS = 253, TJ = 250

TS = 247, TJ = 245

TS = 254, TJ = 248

TS = 272, TJ = 271

TS = 262, TJ = 259

TS = 491, TJ = 491

TS = 265, TJ = 265

TS = 263, TJ = 258

TS = 252, TJ = 252

TS = 341, TJ = 339

TS = 251, TJ = 251

TS = 260, TJ = 257

TS = 253, TJ = 253

TS = 265, TJ = 257

TS = 251, TJ = 246

TS = 263, TJ = 259

TS = 257, TJ = 256

TS = 256, TJ = 253

TS = 264, TJ = 264

TS = 265, TJ = 264

TS = 263, TJ = 262

TS = 274, TJ = 274

TS = 268, TJ = 267

TS = 257, TJ = 257

TS = 251, TJ = 251

