TS = 1343, TJ = 1340

TS = 1992, TJ = 1989

TS = 1444, TJ = 1442

TS = 1145, TJ = 1142

TS = 1641, TJ = 1639

TS = 1746, TJ = 1741

TS = 1939, TJ = 1933

TS = 1252, TJ = 1241

TS = 1550, TJ = 1550

TS = 444, TJ = 444

TS = 483, TJ = 478

TS = 492, TJ = 483

TS = 494, TJ = 494

TS = 496, TJ = 496

TS = 498, TJ = 497

TS = 606, TJ = 600

TS = 606, TJ = 604

TS = 607, TJ = 600

TS = 2461, TJ = 2451

TS = 370, TJ = 344

TS = 366, TJ = 366

TS = 373, TJ = 371

TS = 397, TJ = 386

TS = 348, TJ = 342

TS = 367, TJ = 330

TS = 374, TJ = 344

TS = 373, TJ = 343

TS = 499, TJ = 499

TS = 301, TJ = 301

TS = 355, TJ = 343

TS = 345, TJ = 339

TS = 374, TJ = 368

TS = 344, TJ = 337

TS = 356, TJ = 353

TS = 361, TJ = 350

TS = 361, TJ = 357

TS = 399, TJ = 398

TS = 276, TJ = 276

TS = 1049, TJ = 1038

TS = 308, TJ = 296

TS = 309, TJ = 290

TS = 263, TJ = 263

TS = 372, TJ = 365

TS = 303, TJ = 301

TS = 292, TJ = 287

TS = 344, TJ = 329

TS = 346, TJ = 330

TS = 313, TJ = 312

TS = 302, TJ = 299

TS = 303, TJ = 303

TS = 304, TJ = 297

TS = 307, TJ = 302

TS = 277, TJ = 276

TS = 259, TJ = 258

TS = 291, TJ = 291

TS = 297, TJ = 297

TS = 297, TJ = 291

TS = 262, TJ = 262

TS = 284, TJ = 277

TS = 273, TJ = 273

TS = 367, TJ = 367

TS = 297, TJ = 296

TS = 430, TJ = 422

TS = 324, TJ = 310

TS = 331, TJ = 330

TS = 300, TJ = 293

TS = 414, TJ = 406

TS = 262, TJ = 262

TS = 491, TJ = 481

TS = 279, TJ = 274

TS = 306, TJ = 282

TS = 379, TJ = 377

TS = 423, TJ = 414

TS = 416, TJ = 409

TS = 419, TJ = 416

TS = 385, TJ = 385

TS = 446, TJ = 446

TS = 428, TJ = 428

TS = 281, TJ = 274

TS = 275, TJ = 269

TS = 741, TJ = 718

TS = 338, TJ = 329

TS = 340, TJ = 329

TS = 341, TJ = 340

TS = 353, TJ = 344

TS = 365, TJ = 365

TS = 370, TJ = 348

TS = 860, TJ = 854

TS = 337, TJ = 324

TS = 323, TJ = 323

TS = 260, TJ = 260

TS = 322, TJ = 307

TS = 328, TJ = 303

TS = 329, TJ = 326

TS = 311, TJ = 311

TS = 382, TJ = 366

TS = 384, TJ = 362

TS = 343, TJ = 343

TS = 403, TJ = 395

TS = 312, TJ = 312

TS = 386, TJ = 386

TS = 320, TJ = 299

TS = 323, TJ = 302

TS = 329, TJ = 329

TS = 297, TJ = 297

TS = 335, TJ = 335

TS = 361, TJ = 357

TS = 376, TJ = 368

TS = 385, TJ = 367

TS = 425, TJ = 402

TS = 323, TJ = 309

TS = 324, TJ = 324

TS = 327, TJ = 324

TS = 271, TJ = 271

TS = 262, TJ = 262

TS = 700, TJ = 699

TS = 285, TJ = 280

TS = 284, TJ = 275

TS = 293, TJ = 280

TS = 340, TJ = 337

TS = 323, TJ = 312

TS = 362, TJ = 356

TS = 320, TJ = 317

TS = 426, TJ = 426

TS = 311, TJ = 293

TS = 379, TJ = 358

TS = 306, TJ = 305

TS = 317, TJ = 311

TS = 324, TJ = 312

TS = 269, TJ = 267

TS = 272, TJ = 272

TS = 287, TJ = 287

TS = 287, TJ = 287

TS = 332, TJ = 321

TS = 379, TJ = 367

TS = 381, TJ = 381

TS = 375, TJ = 375

TS = 307, TJ = 292

TS = 403, TJ = 403

TS = 353, TJ = 353

TS = 290, TJ = 284

TS = 290, TJ = 284

TS = 345, TJ = 315

TS = 345, TJ = 322

TS = 301, TJ = 275

TS = 348, TJ = 315

TS = 1240, TJ = 1012

TS = 320, TJ = 305

TS = 381, TJ = 349

TS = 381, TJ = 362

TS = 382, TJ = 361

TS = 487, TJ = 487

TS = 376, TJ = 370

TS = 377, TJ = 377

TS = 405, TJ = 405

TS = 361, TJ = 346

TS = 389, TJ = 347

TS = 366, TJ = 341

TS = 485, TJ = 475

TS = 384, TJ = 377

TS = 387, TJ = 385

TS = 273, TJ = 268

TS = 318, TJ = 318

TS = 287, TJ = 287

TS = 323, TJ = 320

TS = 377, TJ = 352

TS = 396, TJ = 382

TS = 396, TJ = 382

TS = 398, TJ = 368

TS = 379, TJ = 349

TS = 409, TJ = 372

TS = 359, TJ = 359

TS = 301, TJ = 299

TS = 302, TJ = 297

TS = 299, TJ = 287

TS = 350, TJ = 340

TS = 462, TJ = 455

TS = 459, TJ = 448

TS = 356, TJ = 334

TS = 466, TJ = 437

TS = 465, TJ = 454

TS = 355, TJ = 334

TS = 353, TJ = 330

TS = 493, TJ = 491

TS = 476, TJ = 463

TS = 258, TJ = 253

TS = 437, TJ = 437

TS = 450, TJ = 450

TS = 438, TJ = 431

TS = 460, TJ = 460

TS = 485, TJ = 453

TS = 510, TJ = 469

TS = 516, TJ = 472

TS = 516, TJ = 473

TS = 477, TJ = 426

TS = 379, TJ = 346

TS = 294, TJ = 294

TS = 339, TJ = 332

TS = 370, TJ = 369

TS = 430, TJ = 419

TS = 421, TJ = 421

TS = 406, TJ = 406

TS = 407, TJ = 398

TS = 426, TJ = 409

TS = 427, TJ = 427

TS = 493, TJ = 477

TS = 258, TJ = 255

TS = 259, TJ = 256

TS = 257, TJ = 256

TS = 287, TJ = 287

TS = 318, TJ = 314

TS = 341, TJ = 335

TS = 367, TJ = 360

TS = 388, TJ = 381

TS = 398, TJ = 374

TS = 337, TJ = 316

TS = 389, TJ = 362

TS = 280, TJ = 277

TS = 311, TJ = 306

TS = 249, TJ = 249

TS = 250, TJ = 247

TS = 246, TJ = 246

TS = 292, TJ = 281

TS = 343, TJ = 343

TS = 368, TJ = 364

TS = 351, TJ = 346

TS = 395, TJ = 386

TS = 404, TJ = 386

TS = 344, TJ = 344

TS = 283, TJ = 278

TS = 494, TJ = 493

TS = 266, TJ = 266

TS = 296, TJ = 294

TS = 282, TJ = 279

TS = 497, TJ = 496

TS = 279, TJ = 279

TS = 295, TJ = 274

TS = 288, TJ = 283

TS = 299, TJ = 280

TS = 327, TJ = 312

TS = 345, TJ = 328

TS = 274, TJ = 270

TS = 271, TJ = 271

TS = 276, TJ = 262

TS = 302, TJ = 302

TS = 360, TJ = 353

TS = 374, TJ = 370

TS = 325, TJ = 325

TS = 349, TJ = 345

TS = 348, TJ = 342

TS = 331, TJ = 321

TS = 357, TJ = 353

TS = 297, TJ = 291

TS = 268, TJ = 267

TS = 275, TJ = 266

TS = 289, TJ = 284

TS = 284, TJ = 282

TS = 381, TJ = 369

TS = 319, TJ = 316

TS = 390, TJ = 390

TS = 402, TJ = 402

TS = 351, TJ = 327

TS = 393, TJ = 393

TS = 279, TJ = 272

TS = 373, TJ = 359

