TS = 962, TJ = 960

TS = 970, TJ = 970

TS = 977, TJ = 971

TS = 248, TJ = 243

TS = 979, TJ = 979

TS = 249, TJ = 241

TS = 949, TJ = 949

TS = 248, TJ = 244

TS = 961, TJ = 958

TS = 259, TJ = 255

TS = 241, TJ = 240

TS = 253, TJ = 248

TS = 987, TJ = 987

TS = 254, TJ = 254

TS = 984, TJ = 977

TS = 269, TJ = 268

TS = 283, TJ = 282

TS = 975, TJ = 975

TS = 284, TJ = 283

TS = 279, TJ = 275

TS = 286, TJ = 286

TS = 411, TJ = 409

TS = 290, TJ = 289

TS = 998, TJ = 998

TS = 249, TJ = 249

TS = 248, TJ = 248

TS = 242, TJ = 242

TS = 238, TJ = 238

TS = 239, TJ = 239

TS = 250, TJ = 250

TS = 265, TJ = 265

TS = 262, TJ = 262

TS = 267, TJ = 267

TS = 310, TJ = 305

TS = 293, TJ = 280

TS = 272, TJ = 269

TS = 343, TJ = 343

TS = 266, TJ = 266

TS = 261, TJ = 259

TS = 255, TJ = 255

TS = 259, TJ = 255

TS = 257, TJ = 255

TS = 258, TJ = 258

TS = 241, TJ = 241

TS = 243, TJ = 240

TS = 240, TJ = 240

TS = 254, TJ = 254

TS = 255, TJ = 255

TS = 247, TJ = 247

TS = 241, TJ = 241

TS = 242, TJ = 242

TS = 239, TJ = 239

TS = 255, TJ = 255

TS = 249, TJ = 249

TS = 240, TJ = 240

TS = 248, TJ = 248

TS = 259, TJ = 259

TS = 269, TJ = 269

TS = 257, TJ = 257

TS = 246, TJ = 243

TS = 244, TJ = 244

TS = 243, TJ = 243

TS = 258, TJ = 258

TS = 262, TJ = 262

TS = 248, TJ = 248

TS = 239, TJ = 239

TS = 238, TJ = 238

TS = 251, TJ = 251

TS = 258, TJ = 258

TS = 243, TJ = 240

TS = 241, TJ = 241

TS = 258, TJ = 255

TS = 241, TJ = 241

TS = 248, TJ = 248

TS = 280, TJ = 274

TS = 255, TJ = 255

TS = 239, TJ = 239

TS = 256, TJ = 255

TS = 251, TJ = 250

TS = 243, TJ = 243

TS = 239, TJ = 239

TS = 237, TJ = 237

TS = 239, TJ = 239

TS = 238, TJ = 238

TS = 245, TJ = 245

TS = 252, TJ = 251

TS = 237, TJ = 237

TS = 247, TJ = 247

TS = 256, TJ = 256

TS = 255, TJ = 255

TS = 244, TJ = 244

TS = 237, TJ = 237

TS = 241, TJ = 241

TS = 237, TJ = 237

TS = 249, TJ = 249

TS = 247, TJ = 246

TS = 252, TJ = 252

TS = 258, TJ = 258

TS = 261, TJ = 254

TS = 253, TJ = 252

TS = 253, TJ = 252

TS = 245, TJ = 245

TS = 241, TJ = 241

TS = 254, TJ = 254

TS = 245, TJ = 245

TS = 277, TJ = 274

TS = 332, TJ = 331

TS = 258, TJ = 258

TS = 272, TJ = 268

TS = 273, TJ = 273

TS = 280, TJ = 280

TS = 269, TJ = 269

TS = 265, TJ = 265

TS = 241, TJ = 240

TS = 239, TJ = 239

TS = 238, TJ = 238

TS = 239, TJ = 239

TS = 245, TJ = 245

TS = 241, TJ = 241

TS = 251, TJ = 251

TS = 269, TJ = 258

TS = 291, TJ = 289

TS = 280, TJ = 278

TS = 268, TJ = 266

TS = 267, TJ = 267

TS = 272, TJ = 272

TS = 419, TJ = 419

TS = 274, TJ = 274

TS = 256, TJ = 256

TS = 251, TJ = 251

TS = 236, TJ = 236

TS = 238, TJ = 238

TS = 242, TJ = 242

TS = 240, TJ = 239

TS = 240, TJ = 239

TS = 248, TJ = 247

TS = 261, TJ = 261

TS = 254, TJ = 253

TS = 256, TJ = 256

TS = 264, TJ = 264

TS = 255, TJ = 255

TS = 238, TJ = 238

TS = 239, TJ = 239

TS = 240, TJ = 240

TS = 255, TJ = 239

TS = 238, TJ = 237

TS = 263, TJ = 263

TS = 261, TJ = 261

TS = 256, TJ = 256

TS = 265, TJ = 265

TS = 273, TJ = 273

TS = 269, TJ = 268

TS = 288, TJ = 288

TS = 241, TJ = 241

TS = 246, TJ = 246

TS = 243, TJ = 243

TS = 256, TJ = 256

TS = 262, TJ = 262

TS = 281, TJ = 281

TS = 247, TJ = 247

TS = 248, TJ = 248

TS = 254, TJ = 251

TS = 264, TJ = 264

TS = 271, TJ = 269

TS = 254, TJ = 252

TS = 244, TJ = 244

TS = 248, TJ = 248

TS = 246, TJ = 246

TS = 264, TJ = 264

TS = 256, TJ = 256

TS = 253, TJ = 253

TS = 253, TJ = 253

TS = 250, TJ = 250

TS = 243, TJ = 243

TS = 238, TJ = 238

TS = 250, TJ = 250

TS = 245, TJ = 245

TS = 254, TJ = 254

TS = 257, TJ = 257

TS = 255, TJ = 255

TS = 256, TJ = 256

TS = 249, TJ = 245

TS = 258, TJ = 258

TS = 248, TJ = 248

TS = 236, TJ = 236

TS = 238, TJ = 238

TS = 252, TJ = 249

TS = 250, TJ = 250

TS = 255, TJ = 255

TS = 257, TJ = 257

TS = 264, TJ = 264

TS = 262, TJ = 262

TS = 260, TJ = 260

TS = 254, TJ = 254

TS = 240, TJ = 237

TS = 242, TJ = 240

TS = 252, TJ = 249

TS = 254, TJ = 254

TS = 260, TJ = 260

TS = 253, TJ = 253

TS = 262, TJ = 262

TS = 257, TJ = 256

TS = 256, TJ = 256

TS = 263, TJ = 263

TS = 249, TJ = 249

TS = 243, TJ = 243

TS = 248, TJ = 248

TS = 251, TJ = 251

TS = 252, TJ = 252

TS = 257, TJ = 257

TS = 257, TJ = 257

TS = 251, TJ = 251

TS = 264, TJ = 264

TS = 269, TJ = 269

TS = 269, TJ = 269

TS = 255, TJ = 255

TS = 244, TJ = 244

TS = 252, TJ = 252

TS = 244, TJ = 244

TS = 247, TJ = 247

TS = 248, TJ = 248

TS = 252, TJ = 252

TS = 254, TJ = 254

TS = 256, TJ = 256

TS = 248, TJ = 248

TS = 264, TJ = 264

TS = 238, TJ = 238

TS = 239, TJ = 239

TS = 240, TJ = 240

TS = 249, TJ = 249

TS = 268, TJ = 265

TS = 251, TJ = 251

TS = 264, TJ = 264

TS = 268, TJ = 268

TS = 261, TJ = 261

TS = 249, TJ = 249

TS = 240, TJ = 240

TS = 242, TJ = 242

TS = 251, TJ = 245

TS = 258, TJ = 258

TS = 239, TJ = 239

TS = 239, TJ = 239

TS = 256, TJ = 252

TS = 270, TJ = 270

TS = 266, TJ = 265

TS = 266, TJ = 266

TS = 243, TJ = 241

TS = 242, TJ = 241

TS = 238, TJ = 238

TS = 246, TJ = 246

TS = 246, TJ = 246

TS = 238, TJ = 238

TS = 241, TJ = 241

TS = 239, TJ = 239

TS = 247, TJ = 247

TS = 266, TJ = 266

TS = 252, TJ = 252

TS = 249, TJ = 249

TS = 237, TJ = 237

TS = 248, TJ = 248

TS = 247, TJ = 247

TS = 243, TJ = 243

TS = 239, TJ = 239

TS = 239, TJ = 239

TS = 235, TJ = 235

TS = 243, TJ = 241

TS = 242, TJ = 242

TS = 240, TJ = 240

TS = 242, TJ = 242

TS = 255, TJ = 255

TS = 265, TJ = 265

TS = 253, TJ = 253

TS = 240, TJ = 240

TS = 238, TJ = 238

TS = 236, TJ = 236

TS = 241, TJ = 239

TS = 253, TJ = 253

TS = 243, TJ = 243

TS = 238, TJ = 238

TS = 258, TJ = 258

TS = 255, TJ = 254

TS = 250, TJ = 248

TS = 243, TJ = 243

TS = 237, TJ = 237

TS = 237, TJ = 237

TS = 237, TJ = 237

TS = 247, TJ = 247

TS = 250, TJ = 247

TS = 238, TJ = 238

TS = 251, TJ = 251

TS = 268, TJ = 257

TS = 273, TJ = 273

TS = 266, TJ = 266

TS = 258, TJ = 258

TS = 245, TJ = 245

TS = 237, TJ = 237

TS = 249, TJ = 248

TS = 245, TJ = 245

TS = 243, TJ = 243

TS = 238, TJ = 238

TS = 251, TJ = 251

TS = 262, TJ = 262

TS = 257, TJ = 257

TS = 268, TJ = 268

TS = 272, TJ = 272

TS = 250, TJ = 250

TS = 273, TJ = 267

TS = 298, TJ = 291

TS = 299, TJ = 299

TS = 252, TJ = 252

TS = 278, TJ = 278

TS = 294, TJ = 294

TS = 335, TJ = 334

TS = 314, TJ = 311

TS = 322, TJ = 322

TS = 332, TJ = 332

TS = 256, TJ = 256

TS = 270, TJ = 270

TS = 271, TJ = 270

TS = 238, TJ = 238

TS = 238, TJ = 238

TS = 239, TJ = 239

TS = 237, TJ = 237

TS = 253, TJ = 253

TS = 249, TJ = 249

TS = 255, TJ = 255

TS = 241, TJ = 241

TS = 248, TJ = 248

TS = 249, TJ = 248

TS = 239, TJ = 239

TS = 242, TJ = 240

TS = 241, TJ = 241

TS = 240, TJ = 240

TS = 265, TJ = 265

TS = 262, TJ = 262

TS = 261, TJ = 260

TS = 247, TJ = 247

TS = 269, TJ = 269

TS = 268, TJ = 268

TS = 239, TJ = 239

TS = 244, TJ = 244

TS = 238, TJ = 238

TS = 237, TJ = 236

TS = 257, TJ = 257

TS = 262, TJ = 262

